env,ID_2018,ID_2018,ID_2018,ID_2019,ID_2019,ID_2019,ID_2020,ID_2020,ID_2020,OR_2018,OR_2018,OR_2018,OR_2019,OR_2019,OR_2019,OR_2020,OR_2020,OR_2020,OR_2021,OR_2021,OR_2021,WA_2018,WA_2018,WA_2018,WA_2019,WA_2019,WA_2019,WA_2020,WA_2020,WA_2020,WA_2021,WA_2021,WA_2021
trait,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2
ADF,0.680,1.299,0.524,0.900,3.026,0.297,0.326,3.061,0.107,0.953,4.705,0.203,0.806,4.398,0.183,0.101,5.416,0.019,1.497,4.444,0.337,0.692,3.569,0.194,0.985,2.697,0.365,0.830,5.079,0.163,3.083,3.795,0.812
ADICP,0.001,1.067,0.001,0.001,1.248,0.001,0.000,1.122,0.000,0.000,0.391,0.001,0.001,1.809,0.000,0.000,1.129,0.000,0.001,1.968,0.000,0.000,1.840,0.000,0.000,1.378,0.000,0.000,0.225,0.000,0.000,0.585,0.000
aNDF,1.146,1.958,0.585,0.859,3.816,0.225,0.423,3.656,0.116,1.294,1.551,0.834,1.131,5.374,0.210,0.154,6.797,0.023,1.943,5.554,0.350,1.022,4.711,0.217,1.518,4.131,0.367,1.078,7.128,0.151,4.006,4.681,0.856
Ash,0.000,1.539,0.000,0.498,1.677,0.297,0.116,0.533,0.218,0.024,2.019,0.012,0.000,0.193,0.000,0.028,0.933,0.030,0.051,2.188,0.024,0.000,1.982,0.000,0.000,1.484,0.000,0.151,0.290,0.519,0.000,2.133,0.000
Ca,0.001,1.672,0.000,0.001,1.963,0.001,0.001,1.660,0.000,0.000,1.559,0.000,0.000,1.201,0.000,0.000,0.266,0.001,0.002,1.824,0.001,0.001,1.782,0.000,0.000,1.577,0.000,0.001,1.267,0.000,0.002,1.560,0.001
CP,0.734,2.768,0.265,0.400,1.802,0.222,0.116,2.355,0.049,0.823,3.893,0.211,0.459,0.595,0.772,0.045,3.256,0.014,0.397,2.808,0.141,1.032,4.837,0.213,1.223,2.820,0.434,0.275,3.913,0.070,0.660,1.131,0.583
DM,0.000,1.703,0.000,0.042,1.151,0.037,0.011,0.144,0.074,0.002,0.656,0.003,0.002,1.841,0.001,0.037,1.446,0.025,0.006,1.172,0.005,0.020,1.311,0.015,0.000,0.179,0.000,0.122,1.091,0.112,0.007,1.741,0.004
ESC,0.117,0.625,0.187,0.109,0.248,0.440,0.006,0.323,0.017,0.057,0.553,0.104,0.000,2.022,0.000,0.000,1.575,0.000,0.067,2.369,0.028,0.063,1.680,0.037,0.000,1.743,0.000,0.459,0.613,0.748,0.296,1.268,0.233
Fat,0.005,1.024,0.005,0.003,1.604,0.002,0.002,0.915,0.003,0.009,1.978,0.004,0.005,1.979,0.002,0.000,1.544,0.000,0.007,1.292,0.005,0.006,1.276,0.005,0.000,1.403,0.000,0.005,1.624,0.003,0.000,0.206,0.000
K,0.000,1.627,0.000,0.000,0.803,0.000,0.003,1.658,0.002,0.000,1.511,0.000,0.000,1.365,0.000,0.000,0.999,0.000,0.000,1.445,0.000,0.000,1.399,0.000,0.000,1.722,0.000,0.007,0.205,0.034,0.021,1.952,0.011
Lignin,0.046,1.663,0.028,0.058,1.397,0.042,0.028,0.879,0.032,0.055,2.133,0.026,0.061,2.130,0.029,0.000,0.750,0.000,0.080,1.312,0.061,0.058,1.703,0.034,0.000,1.409,0.000,0.031,0.868,0.035,0.160,1.221,0.131
Mg,0.007,1.976,0.004,0.000,1.755,0.000,0.000,1.794,0.000,0.000,1.443,0.000,0.000,1.441,0.000,0.000,1.127,0.000,0.000,1.726,0.000,0.003,1.435,0.002,0.006,1.470,0.004,0.000,1.301,0.000,0.000,1.592,0.000
NDICP,0.009,1.774,0.005,0.000,1.575,0.000,0.007,0.838,0.008,0.009,1.046,0.009,0.000,1.809,0.000,0.000,1.866,0.000,0.000,1.747,0.000,0.000,1.196,0.000,0.000,0.119,0.000,0.009,0.167,0.051,0.027,0.392,0.070
P,0.000,1.960,0.000,0.000,0.956,0.000,0.000,1.497,0.000,0.000,1.521,0.000,0.000,0.328,0.001,0.000,1.850,0.000,0.000,1.174,0.000,0.000,1.610,0.000,0.000,1.054,0.000,0.000,0.143,0.001,0.000,0.813,0.000
Starch,0.000,1.746,0.000,0.005,2.000,0.003,0.014,0.170,0.083,0.020,1.419,0.014,0.047,1.935,0.024,0.000,1.887,0.000,0.050,1.837,0.027,0.117,1.769,0.066,0.000,1.657,0.000,0.574,2.057,0.279,1.995,3.928,0.508
WSC,0.041,1.118,0.037,0.124,0.319,0.388,0.007,1.965,0.004,0.176,1.854,0.095,0.087,0.405,0.216,0.002,1.724,0.001,0.081,2.252,0.036,0.021,1.751,0.012,0.000,0.920,0.000,0.418,1.012,0.413,0.315,1.353,0.233
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trait,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021,,,,,,,,,,,,,,,,,,,,,,
ADF,0.680,0.900,0.326,0.953,0.806,0.101,1.497,0.692,0.985,0.830,3.083,,,,,,,,,,,,,,,,,,,,,,
ADICP,0.001,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
aNDF,1.146,0.859,0.423,1.294,1.131,0.154,1.943,1.022,1.518,1.078,4.006,,,,,,,,,,,,,,,,,,,,,,
Ash,0.000,0.498,0.116,0.024,0.000,0.028,0.051,0.000,0.000,0.151,0.000,,,,,,,,,,,,,,,,,,,,,,
Ca,0.001,0.001,0.001,0.000,0.000,0.000,0.002,0.001,0.000,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,
CP,0.734,0.400,0.116,0.823,0.459,0.045,0.397,1.032,1.223,0.275,0.660,,,,,,,,,,,,,,,,,,,,,,
DM,0.000,0.042,0.011,0.002,0.002,0.037,0.006,0.020,0.000,0.122,0.007,,,,,,,,,,,,,,,,,,,,,,
ESC,0.117,0.109,0.006,0.057,0.000,0.000,0.067,0.063,0.000,0.459,0.296,,,,,,,,,,,,,,,,,,,,,,
Fat,0.005,0.003,0.002,0.009,0.005,0.000,0.007,0.006,0.000,0.005,0.000,,,,,,,,,,,,,,,,,,,,,,
K,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.021,,,,,,,,,,,,,,,,,,,,,,
Lignin,0.046,0.058,0.028,0.055,0.061,0.000,0.080,0.058,0.000,0.031,0.160,,,,,,,,,,,,,,,,,,,,,,
Mg,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.006,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
NDICP,0.009,0.000,0.007,0.009,0.000,0.000,0.000,0.000,0.000,0.009,0.027,,,,,,,,,,,,,,,,,,,,,,
P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
Starch,0.000,0.005,0.014,0.020,0.047,0.000,0.050,0.117,0.000,0.574,1.995,,,,,,,,,,,,,,,,,,,,,,
WSC,0.041,0.124,0.007,0.176,0.087,0.002,0.081,0.021,0.000,0.418,0.315,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trait,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021,,,,,,,,,,,,,,,,,,,,,,
ADF,1.299,3.026,3.061,4.705,4.398,5.416,4.444,3.569,2.697,5.079,3.795,,,,,,,,,,,,,,,,,,,,,,
ADICP,1.067,1.248,1.122,0.391,1.809,1.129,1.968,1.840,1.378,0.225,0.585,,,,,,,,,,,,,,,,,,,,,,
aNDF,1.958,3.816,3.656,1.551,5.374,6.797,5.554,4.711,4.131,7.128,4.681,,,,,,,,,,,,,,,,,,,,,,
Ash,1.539,1.677,0.533,2.019,0.193,0.933,2.188,1.982,1.484,0.290,2.133,,,,,,,,,,,,,,,,,,,,,,
Ca,1.672,1.963,1.660,1.559,1.201,0.266,1.824,1.782,1.577,1.267,1.560,,,,,,,,,,,,,,,,,,,,,,
CP,2.768,1.802,2.355,3.893,0.595,3.256,2.808,4.837,2.820,3.913,1.131,,,,,,,,,,,,,,,,,,,,,,
DM,1.703,1.151,0.144,0.656,1.841,1.446,1.172,1.311,0.179,1.091,1.741,,,,,,,,,,,,,,,,,,,,,,
ESC,0.625,0.248,0.323,0.553,2.022,1.575,2.369,1.680,1.743,0.613,1.268,,,,,,,,,,,,,,,,,,,,,,
Fat,1.024,1.604,0.915,1.978,1.979,1.544,1.292,1.276,1.403,1.624,0.206,,,,,,,,,,,,,,,,,,,,,,
K,1.627,0.803,1.658,1.511,1.365,0.999,1.445,1.399,1.722,0.205,1.952,,,,,,,,,,,,,,,,,,,,,,
Lignin,1.663,1.397,0.879,2.133,2.130,0.750,1.312,1.703,1.409,0.868,1.221,,,,,,,,,,,,,,,,,,,,,,
Mg,1.976,1.755,1.794,1.443,1.441,1.127,1.726,1.435,1.470,1.301,1.592,,,,,,,,,,,,,,,,,,,,,,
NDICP,1.774,1.575,0.838,1.046,1.809,1.866,1.747,1.196,0.119,0.167,0.392,,,,,,,,,,,,,,,,,,,,,,
P,1.960,0.956,1.497,1.521,0.328,1.850,1.174,1.610,1.054,0.143,0.813,,,,,,,,,,,,,,,,,,,,,,
Starch,1.746,2.000,0.170,1.419,1.935,1.887,1.837,1.769,1.657,2.057,3.928,,,,,,,,,,,,,,,,,,,,,,
WSC,1.118,0.319,1.965,1.854,0.405,1.724,2.252,1.751,0.920,1.012,1.353,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trait,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021,,,,,,,,,,,,,,,,,,,,,,
ADF,0.524,0.297,0.107,0.203,0.183,0.019,0.337,0.194,0.365,0.163,0.812,,,,,,,,,,,,,,,,,,,,,,
ADICP,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
aNDF,0.585,0.225,0.116,0.834,0.210,0.023,0.350,0.217,0.367,0.151,0.856,,,,,,,,,,,,,,,,,,,,,,
Ash,0.000,0.297,0.218,0.012,0.000,0.030,0.024,0.000,0.000,0.519,0.000,,,,,,,,,,,,,,,,,,,,,,
Ca,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,,,,,,,,,,,,,,,,,,,,,,
CP,0.265,0.222,0.049,0.211,0.772,0.014,0.141,0.213,0.434,0.070,0.583,,,,,,,,,,,,,,,,,,,,,,
DM,0.000,0.037,0.074,0.003,0.001,0.025,0.005,0.015,0.000,0.112,0.004,,,,,,,,,,,,,,,,,,,,,,
ESC,0.187,0.440,0.017,0.104,0.000,0.000,0.028,0.037,0.000,0.748,0.233,,,,,,,,,,,,,,,,,,,,,,
Fat,0.005,0.002,0.003,0.004,0.002,0.000,0.005,0.005,0.000,0.003,0.000,,,,,,,,,,,,,,,,,,,,,,
K,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.011,,,,,,,,,,,,,,,,,,,,,,
Lignin,0.028,0.042,0.032,0.026,0.029,0.000,0.061,0.034,0.000,0.035,0.131,,,,,,,,,,,,,,,,,,,,,,
Mg,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.004,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
NDICP,0.005,0.000,0.008,0.009,0.000,0.000,0.000,0.000,0.000,0.051,0.070,,,,,,,,,,,,,,,,,,,,,,
P,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,,,,,,,,,,,,,,,,,,,,,,
Starch,0.000,0.003,0.083,0.014,0.024,0.000,0.027,0.066,0.000,0.279,0.508,,,,,,,,,,,,,,,,,,,,,,
WSC,0.037,0.388,0.004,0.095,0.216,0.001,0.036,0.012,0.000,0.413,0.233,,,,,,,,,,,,,,,,,,,,,,
